created_at,author,text
2022-11-20 15:48:39+00:00,sunfishhie,"@nynynjung Ok pastu why are you camping under mentions of people rightfully criticising the choices kelantanese have made? u taknak tegur (rightfully so) tapi marah bila orang lain tegur, tl penuh rt pasal jangan kritik pilihan orang Kelantan. Amende yang you nak sebenarnya?"
2022-11-20 15:46:39+00:00,fotowilbert,@lotteunited Camping in bos Bant!
2022-11-20 15:40:48+00:00,escliepse,baru pulang camping dan besokk tuh sekolah gak ngasih libur edannnn
2022-11-20 15:37:25+00:00,ttangerinee__,BARU NGEH NIE BAJU COMPANG CAMPING 😭TP KASBANSKASKSNASNAAJSHSJS https://t.co/lU2JMP1OLa
2022-11-20 15:34:33+00:00,happinessroad03,"@b0rathexplorer @lantheorchids Setelah beberapa jam kemudian ayah mendapat telepon dari mertua,mengabari kalau sikecil sangat rewel, dan akhirnya ayah mengajak ibu pulang dari camping https://t.co/fdRvvjoRIo"
2022-11-20 15:30:49+00:00,lutoyang,"@bbydobbby Iyaaa, seneng liat dia ngikutin hobi nya, ngelukis sm camping 🏕️

Kreatif bgt emg Na PD. Gak ngerti lg deh. Org mana yg bs tdr klo dinyanyiin kek gtu cobaaaa"
2022-11-20 15:25:00+00:00,304BHY,camping on yd and merc4ri for bahiyyih star magazine…ill CRY
2022-11-20 15:20:56+00:00,fayazahmed31122,@ARaziHussaini Huzur apne to koi kasar na chori thi tlp ko badnam or khatam krne ki ?  Election camping me to bare bare dawe kiye they k jaan bhi de dnge fla fla fla bus thori c sakhti ai to thereeek k khilaaf hi bayan de diya?  Saad bhai ka hi soch lete
2022-11-20 15:18:44+00:00,yubxtchbxtch,macam nak pindah rumah ye barang barang camping. sumpahhh~~ next time kena tukar kereta dengan mak sesiap.
2022-11-20 15:14:49+00:00,divesamine,Info camping pantai dong ges. Yg tendanya udh dibikinin sm mas penjaga♥️
2022-11-20 15:14:38+00:00,ArlanGhazali,"Padahal rencana awal mau ala ala camping tapi karna sampai atas kabut yaudah gajadi deh, nongkrong di coffe shop dari jam 3 sampai jam 5.30 abis itu pulang, sampe rumah jam 7. Dah segitu doang cerita hari ini wkwkwk"
2022-11-20 15:11:48+00:00,chojie_,"RT @nnymds: @hazwanfaiz87 Tapi ada je staycation kat Jeli, Gua Musang semua sbb ada resort, ada tempat boleh camping 🤷🏻‍♀️"
2022-11-20 15:08:18+00:00,ArgentianaA,@Motty_han9 Trus setan di LN mah cakep2 rapih pakaiannya ga kayak di Indo 🤣 compang-camping. Wkwk
2022-11-20 15:05:18+00:00,ddafid_,@bucatbuceng kirain ikut camping😢
2022-11-20 14:55:09+00:00,sukaa_ngeracunn,"RT @racunshopee_pi: Rekomendasi barang-barang yang diperlukan saat camping/piknik

✨A thread

Rekreasi kemping peralatan kemah liburan ming…"
2022-11-20 14:52:40+00:00,adellsnnd,"Libur 2 hari ga kerasa banget karna waktunya dipake camping, tp seruuuuuuuu"
2022-11-20 14:50:13+00:00,yourngwo,"28. Jangan kebanyakan member base, takut ada yang left out🙏
29. Event camping.
30. Ya, salam-salam dari bapak Parjo
Salam buat bapak Cici
Salamnya, salam kompak selalu
Dari Binasrul salam buat pokemon
Salamnya, salam sayang selalu
Buat bapak, pak mulih pak, waduh @THESEKTORIS"
2022-11-20 14:49:25+00:00,skadventure11,"LDKS &amp; Camping seru yu.....

#ldkspuncak
#campingpuncak
#areacamping[uncak https://t.co/KhBbJUELJ7"
2022-11-20 14:41:44+00:00,seketulcikedis,Takdelah reti guna camera but bawa pergi camping tak reti guna kena gelak tak?🥹
2022-11-20 14:39:06+00:00,nukhaidir,@papapicko Disini bisa camping??? Mauu
2022-11-20 14:37:42+00:00,SunFlow1022131,@ffeebb131___ di universe yg dia post foto waktu camping..
2022-11-20 14:37:28+00:00,jinjkskies,Capek bgt punya keluarga yang hobinya camping 😫😫😫😫😫😫😫😫😭😭😭😭😭
2022-11-20 14:37:20+00:00,syifaoktv_,@scrunchieez camping lah
2022-11-20 14:30:34+00:00,Jie_20,RT @Yusnizamyusof97: Musim gni nk camping pon dh x oleh 🥲 https://t.co/GkDKy8u3u3
2022-11-20 14:24:21+00:00,andiksusilo,"@txtdrkuliner Makan steak enak pas camping, kentang wortel + seasoning bungkus alumunium foil trus di bakar pake api unggun https://t.co/CIiFL46RXi"
2022-11-20 14:22:04+00:00,HakamIzzat,"@opahkoo @axikrul Ye haha penat wei, camping sekolah + bertugas pru 🥴🫠"
2022-11-20 14:20:16+00:00,unknown6542,"dia nak follow pulek gi camping, mana bolehhhh, aku waktu camping malehhh nak bersiap bagai mmg muka toya jeee"
2022-11-20 14:09:32+00:00,MrAbdullahBobby,@fnadiaishak Myb nk sewa brg camping haaa
2022-11-20 14:08:03+00:00,zeuscuseio,"@rlgxg camping di daerah bersalju, tapi aku gakuat dingin 😔"
2022-11-20 14:07:58+00:00,dsangg377,"Kalau aku yang begini, bakal sebulan tidur diteras.. atau camping dipinggir pagar rumah.. 😬 https://t.co/DFfmkDB5EV"
2022-11-20 14:05:04+00:00,seukimong,ini pilem apa dia berusaha buat suasana camping 😭
2022-11-20 13:55:48+00:00,beomgyuunie_,@aryosaloka01 Pgn camping
2022-11-20 13:53:42+00:00,Yusnizamyusof97,Musim gni nk camping pon dh x oleh 🥲 https://t.co/GkDKy8u3u3
2022-11-20 13:41:30+00:00,notblganywhere,trimakasih pengalihan isunya camping☺️
2022-11-20 13:40:06+00:00,jajaanuar,tapi tulah yang camping tu alamak saya lemah sikit. buat benda outdoor hiking daki daki gitu paling aku tak suka 😭😭😭😭😭
2022-11-20 13:33:19+00:00,glieserin,pgn camping 😞😞
2022-11-20 13:30:08+00:00,noturtoyss,"mau semester 7 lagi bisa ga?

periode dimana pu kelar, kelas kosong, pada punya waktu luang untuk anak kelas, ajak cewe-cewe camping di perbukitan, rusuhin mereka masak, buat mereka kzl emosi dan paleng is my job hahahah https://t.co/bRxfvVEZII"
2022-11-20 13:29:13+00:00,afinanurr_,"kemaren ppd tas nyh disiapin papa, pdhl uda misuh lg hujan2 kalakah camping tp ttep packingin sepatu sm minum"
2022-11-20 13:22:37+00:00,Freswater,"@Askrlfess Harus ada rooftop yg bisa buat ngeteh/ngopi sambil nikmatin sunrise/sunset. Sama sekalian yg bisa buat tiduran ngeliat langit, plus bisa buat mini camping 🤣"
2022-11-20 13:16:35+00:00,wonhyewon,"kalo mau camping di gunung anj bukan di qrt yang udah jelas kagak ada hubungannya
gblg kesel gue
kek kagak pernah move on"
2022-11-20 13:15:02+00:00,NajmanHamdi,Cilake esok memang tak cuti lah ceritanya? Nari plan nak camping.
2022-11-20 13:08:36+00:00,skillbrats,@twinZg0away Itu pinjem di rental alat2 camping ada kok  nyi ...
2022-11-20 13:03:21+00:00,cyntiajovanora,# 104 persiapan camping https://t.co/ZeYzApQdZK
2022-11-20 12:51:34+00:00,uhyeah25,"@Askrlfess Halaman belakangnya cukup luas, jadi kalau ada acara bisa pake konsep ala2 garden party. Terus bisa buat camping kecil2an gitu sih kayaknya seru. Terus sebenarnya pengen punya ruang bawah tanah buat jaga2 kalau ada bencana kyk orang2 luar negri, tapi dipikir2 kok serem,,"
2022-11-20 12:49:10+00:00,AGISAFANDI,"@jntexpressid Jangan konten mulu, barang gua masih camping nih di gudang Bogor ? https://t.co/aEvPe6B0Sp"
2022-11-20 12:48:47+00:00,andremnll,sekalian camping asik juga yea
2022-11-20 12:46:50+00:00,ihhanehbgt,"RT @racunshopee_pi: Rekomendasi barang-barang yang diperlukan saat camping/piknik

✨A thread

Rekreasi kemping peralatan kemah liburan ming…"
2022-11-20 12:46:02+00:00,bontang_post,camping sekaligus belajar hidup sehat https://t.co/YagEmEI1Xi
2022-11-20 12:44:51+00:00,minumbobayuk,@papapicko Literally camping cuma berdua di tengah kebun teh pas ketauan langsung masak mie😭😭
