created_at,cleaned_tweet
2022-05-22 18:09:31+00:00,pak hansip buka puasa
2022-05-21 17:10:00+00:00,belum jadi tulng punggung sdh sakit punggung
2022-05-19 15:25:11+00:00,y
2022-05-19 04:01:06+00:00,fuck lifeee i only need to finish final exam
2022-05-13 17:59:03+00:00,nagh sasat
2022-05-13 16:56:47+00:00,info anak hilang sampai sidoarjo alhamdulillah sudah ditemukan
2022-05-12 14:56:30+00:00,ampunnn
2022-05-11 16:10:52+00:00,anytime
2022-05-11 01:39:52+00:00,nais sekali basah kuyup pagi pagi
2022-05-10 16:51:26+00:00,too much glucoseee
2022-05-09 15:47:38+00:00,no system are safe in this world
2022-05-09 15:37:17+00:00,meminta anda mentransfer dengan dalih ganti rugi atau uang damai sebenarnya classic sihh cuma waspada aja and just a reminder cuz beberapa warga kampung saya sudah kena tipu u need to be calm and dont panic stay educated and be aware p s i dont blame these people
2022-05-09 15:32:19+00:00,alert lagi marak kasus penipuan telpon kasus tabrak lari modus operandi penipu dengan menyebutkan kerabat anda sebagai korban atau pelaku dari suatu kasus tabrak lari kemudian penipu juga mengetahui informasi nama orang tua serta alamat yg tertera pada kk anda kemudian
2022-05-08 03:52:25+00:00,h 9 pemakaian huruf kapital 1 huruf pertama awal kalimat kecuali nama merek yang diawali huruf kecil karena
2022-05-07 16:37:11+00:00,sama cuuu aku senin deadline menumpuk
2022-04-28 12:15:19+00:00,maaf teman saya agak jahat terpaksa mengeluarkan sisi jahat saya untuk lomba debat yg terpaksa ini
2022-04-27 22:00:08+00:00,paralayangg
2022-04-25 04:07:10+00:00,kuis offline tapi ditinggal dosennya rapat
2022-04-24 12:08:49+00:00,foto tugas tarus foto cewe kapan
2022-04-18 14:23:06+00:00,ada ya orang orang bangga sama istilah mokel gitu
2022-04-15 20:24:17+00:00,mengurangi total umur hidup anda sebanyak 15 tahun
2022-04-15 08:40:57+00:00,when ukraine got invaded by russia united states got wild meanwhile their ally invading palestine too
2022-04-13 11:25:30+00:00,toko bajunya tebakarr
2022-04-12 21:36:17+00:00,gajadi
2022-04-12 20:55:53+00:00,info goa
2022-04-12 15:53:42+00:00,praktikum coo dihadapan dosen jaka kd puasa gelud si
